																									
Name	Subtype																								
హైదరాబాద్	CITY																								
గోదావరి	RIVER																								
విజయవాడ	CITY																								
తెలంగాణ	STATE																								
తిరుమల	TEMPLE																								
హైదరాబాద్	CITY																								
విజయవాడ	CITY																								
విశాఖపట్నం	CITY																								
తిరుపతి	CITY																								
గుంటూరు	CITY																								
నెల్లూరు	CITY																								
కరీంనగర్	CITY																								
వారంగల్	CITY																								
ఖమ్మం	CITY																								
రాజమండ్రి	CITY																								
ఏలూరు	CITY																								
అనంతపురం	CITY																								
కడప	CITY																								
చిత్తూరు	CITY																								
కర్నూలు	CITY																								
ఓంగోలు	CITY																								
మచిలీపట్నం	CITY																								
అదోని	TOWN																								
భద్రాచలం	TOWN																								
భీమవరం	TOWN																								
ధర్మవరం	TOWN																								
గూడూరు	TOWN																								
హిందూపురం	TOWN																								
జగ్గయ్యపేట	TOWN																								
కామారెడ్డి	TOWN																								
మహబూబ్నగర్	TOWN																								
నిజామాబాద్	CITY																								
పల్నాడు	TOWN																								
సిద్ధిపేట	TOWN																								
సూర్యాపేట	TOWN																								
వానపర్తి	TOWN																								
గోదావరి	RIVER																								
కృష్ణ	RIVER																								
తుంగభద్ర	RIVER																								
పెన్న	RIVER																								
చిత్రవూళ	RIVER																								
పాపాఘ్ని	RIVER																								
నాగావళి	RIVER																								
వంశధార	RIVER																								
మంజీరా	RIVER																								
భీమ	RIVER																								
ముసీ	RIVER																								
కాళేశ్వరం	RIVER																								
హైదరాబాద్ హుస్సేన్ సాగర్	LAKE																								
ఓస్మాన్ సాగర్	LAKE																								
హిమాయత్ సాగర్	LAKE																								
పులిచింతల	LAKE																								
కొల్లేరు	LAKE																								
పకాల	LAKE																								
నాగార్జున సాగర్	RESERVOIR																								
శ్రీశైలం	RESERVOIR																								
జూలుకల్లు	RESERVOIR																								
ధోన్	RESERVOIR																								
పోచంపాడ	RESERVOIR																								
హైదరాబాద్	CITY																								
విజయవాడ																									
విశాఖపట్నం	CITY																								
గుంటూరు	CITY																								
నెల్లూరు	CITY																								
తిరుపతి	CITY																								
కర్నూలు	CITY																								
రాజమండ్రి	CITY																								
కాకినాడ	CITY																								
అనంతపురం	CITY																								
చిత్తూరు	CITY																								
మచిలీపట్నం	CITY																								
ఒంగోలు	CITY																								
